file	percent	reads	taxon_id	taxon_name
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	5.736084	1547828	561	Escherichia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	2.371453	639914	590	Salmonella
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.627456	169313	286	Pseudomonas
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.302015	81496	620	Shigella
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.202475	54636	544	Citrobacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.179328	48390	547	Enterobacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.121957	32909	84565	Sodalis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.065724	17735	570	Klebsiella
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.052260	14102	40323	Stenotrophomonas
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.020835	5622	53335	Pantoea
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.019015	5131	413496	Cronobacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.018196	4910	158483	Cedecea
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.016662	4496	1330546	Pluralibacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.013371	3608	579	Kluyvera
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.012952	3495	83654	Leclercia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.012163	3282	2815296	Jejubacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.011229	3030	82976	Buttiauxella
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.010558	2849	1330547	Kosakonia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.010547	2846	198346	Candidatus Baumannia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.010254	2767	613	Serratia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_11N_ACTCTAGG.out	0.010139	2736	1386	Bacillus
