file	percent	reads	taxon_id	taxon_name
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	14.397779	3231022	2962858	Niallia sp. RD1
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	14.094215	3162899	1397	Niallia circulans
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.639607	143535	2729421	Sediminibacillus dalangtanensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.494445	110959	228899	Peribacillus asahii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.411383	92319	51197	Syntrophobotulus glycolicus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.378020	84832	1423	Bacillus subtilis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.373471	83811	352858	Bacillus sp. Y1
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.228375	51250	2839759	Enterococcus innesii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.180178	40434	2672567	Bacillus aquiflavi
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.164270	36864	279826	Mesobacillus foraminis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.160767	36078	2283194	Sporosarcina sp. PTS2304
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.143687	32245	1517	Thermoanaerobacterium thermosaccharolyticum
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.105792	23741	704125	Clostridium gelidum
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.099799	22396	2590012	Lysinibacillus agricola
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.091867	20616	2068654	Clostridium fermenticellae
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.081627	18318	2068655	Novisyntrophococcus fermenticellae
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.069756	15654	29375	Lacrimispora xylanolytica
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.066886	15010	2759692	Streptococcus sp. Marseille-Q3533
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.063103	14161	2745198	Metabacillus sp. KUDC1714
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.062007	13915	220684	Neobacillus drentensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.048982	10992	2918765	Sphingomonas qomolangmaensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.048692	10927	1467	Lederbergia lenta
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.046294	10389	2762320	Paenibacillus sp. PAMC21692
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.044570	10002	2709784	Bacillus sp. KH172YL63
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.044147	9907	2496265	Jeotgalibaca ciconiae
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.043451	9751	200991	Planococcus rifietoensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.042574	9554	859143	Cytobacillus kochii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.041723	9363	51173	Ureibacillus thermosphaericus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.034450	7731	562	Escherichia coli
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.032859	7374	86665	Halalkalibacterium halodurans
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.029798	6687	1980674	Paenibacillus sp. Cedars
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.028212	6331	72361	Bacillus vallismortis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.026959	6050	666686	Bacillus sp. 1NLA3E
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.026438	5933	486398	Bacillus sp. S3
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.023689	5316	1404	Priestia megaterium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.023502	5274	1601	Ligilactobacillus agilis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.022133	4967	83771	Succinivibrio dextrinosolvens
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.021002	4713	1471	Bacillus methanolicus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.020070	4504	33943	Kyrpidia tusciae
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.018983	4260	1778678	Paenibacillus psychroresistens
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.018551	4163	1903704	Tumebacillus avium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.017784	3991	2567941	Metabacillus sediminilitoris
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.017544	3937	2901381	Cytobacillus sp. CY-G
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.016991	3813	1476025	Heyndrickxia vini
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.016724	3753	53346	Enterococcus mundtii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.016679	3743	324767	Bacillus infantis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.014977	3361	189381	Rossellomorea marisflavi
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.014571	3270	33932	Sutcliffiella cohnii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.013538	3038	1402861	Priestia filamentosa
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.013172	2956	1413	Evansella cellulosilytica
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.013065	2932	38875	Heyndrickxia oleronia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.012949	2906	1426	Parageobacillus thermoglucosidasius
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.012695	2849	1547283	Bacillus weihaiensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.012072	2709	1399	Cytobacillus firmus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.011728	2632	2912824	Niallia sp. Man26
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.011630	2610	1890302	Bacillus wiedmannii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.011216	2517	573	Klebsiella pneumoniae
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.010570	2372	1396	Bacillus cereus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.009679	2172	33936	Aeribacillus pallidus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.008533	1915	2496837	Brevibacillus marinus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007869	1766	450367	Peribacillus frigoritolerans
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007361	1652	76853	Solibacillus silvestris
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007206	1617	1532552	Anaerobacillus isosaccharinicus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007174	1610	1479	Bacillus smithii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007067	1586	2924032	Alkalihalobacillus sp. LMS39
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.007023	1576	2593652	Mangrovibacillus cuniculi
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006965	1563	284581	Priestia koreensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006853	1538	218284	Rossellomorea vietnamensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006577	1476	2741499	Serratia surfactantfaciens
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006310	1416	257438	Gluconobacter thailandicus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006274	1408	324057	Paenibacillus sp. JDR-2
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.006007	1348	436516	Lysinibacillus parviboronicapiens
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.005405	1213	1178515	Paenibacillus swuensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.005330	1196	2070463	Lysinibacillus sp. SGAir0095
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.005049	1133	356322	Heliorestis convoluta
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004728	1061	2880221	Mesobacillus sp. S13
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004688	1052	1747	Cutibacterium acnes
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004532	1017	28901	Salmonella enterica
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004483	1006	2696063	Anaerocolumna sedimenticola
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004461	1001	1773	Mycobacterium tuberculosis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004407	989	86664	Priestia flexa
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004318	969	2598458	Cohnella cholangitidis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004198	942	2060307	Enterococcus sp. FDAARGOS_375
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.004037	906	1478	Peribacillus simplex
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003997	897	98228	Bacillus sp. OxB-1
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003953	887	94869	Clostridium gasigenes
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003547	796	2779527	Viridibacillus sp. JNUCC-6
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003467	778	227866	Bacillus tequilensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003453	775	2651284	Pradoshia sp. D12
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003333	748	2866627	Hydrogenibacillus sp. N12
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003262	732	1742359	Bacillus dafuensis
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.003003	674	1405	Bacillus mycoides
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002995	672	2213194	Paraliobacillus zengyii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002807	630	2760090	Bacillus sp. PAMC26568
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002794	627	371036	Gottfriedia acidiceleris
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002732	613	2704463	Paenibacillus rhizovicinus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002687	603	79883	Sutcliffiella horikoshii
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002678	601	402384	Halobacillus mangrovi
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.002665	598	152268	Metabacillus litoralis
